ENTREZID	ENSEMBL	SYMBOL	GENENAME
66234	ENSMUSG00000031604	Msmo1	methylsterol monoxygenase 1
109731	ENSMUSG00000040147	Maob	monoamine oxidase B
83554	ENSMUSG00000020325	Fstl3	follistatin-like 3
12268	ENSMUSG00000073418	C4b	complement component 4B (Chido blood group)
22354	ENSMUSG00000032528	Vipr1	vasoactive intestinal peptide receptor 1
17131	ENSMUSG00000025880	Smad7	SMAD family member 7
20482	ENSMUSG00000027660	Skil	SKI-like
11555	ENSMUSG00000045730	Adrb2	adrenergic receptor, beta 2
229595	ENSMUSG00000015850	Adamtsl4	ADAMTS-like 4
16590	ENSMUSG00000005672	Kit	KIT proto-oncogene receptor tyrosine kinase
26897	ENSMUSG00000072949	Acot1	acyl-CoA thioesterase 1
24117	ENSMUSG00000020218	Wif1	Wnt inhibitory factor 1
12834	ENSMUSG00000020241	Col6a2	collagen, type VI, alpha 2
194126	ENSMUSG00000045934	Mtmr11	myotubularin related protein 11
74134	ENSMUSG00000040703	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1
72515	ENSMUSG00000041057	Wdr43	WD repeat domain 43
26934	ENSMUSG00000023015	Racgap1	Rac GTPase-activating protein 1
20135	ENSMUSG00000020649	Rrm2	ribonucleotide reductase M2
73847	ENSMUSG00000027459	Fam110a	family with sequence similarity 110, member A
235036	ENSMUSG00000004100	Ppan	peter pan homolog
67971	ENSMUSG00000014846	Tppp3	tubulin polymerization-promoting protein family member 3
101612	ENSMUSG00000053801	Grwd1	glutamate-rich WD repeat containing 1
13400	ENSMUSG00000030409	Dmpk	dystrophia myotonica-protein kinase
74137	ENSMUSG00000009772	Nuak2	NUAK family, SNF1-like kinase, 2
16770	ENSMUSG00000022991	Lalba	lactalbumin, alpha
329739	ENSMUSG00000040339	Fam102b	family with sequence similarity 102, member B
68026	ENSMUSG00000040204	Pclaf	PCNA clamp associated factor
12173	ENSMUSG00000025105	Bnc1	basonuclin 1
16906	ENSMUSG00000024590	Lmnb1	lamin B1
545370	ENSMUSG00000066842	Hmcn1	hemicentin 1
57266	ENSMUSG00000021508	Cxcl14	chemokine (C-X-C motif) ligand 14
170459	ENSMUSG00000024378	Stard4	StAR-related lipid transfer (START) domain containing 4
22339	ENSMUSG00000023951	Vegfa	vascular endothelial growth factor A
59031	ENSMUSG00000036599	Chst12	carbohydrate sulfotransferase 12
18430	ENSMUSG00000049112	Oxtr	oxytocin receptor
56636	ENSMUSG00000030827	Fgf21	fibroblast growth factor 21
12737	ENSMUSG00000022512	Cldn1	claudin 1
14113	ENSMUSG00000046865	Fbl	fibrillarin
12475	ENSMUSG00000051439	Cd14	CD14 antigen
404710	ENSMUSG00000028068	Iqgap3	IQ motif containing GTPase activating protein 3
235505	ENSMUSG00000046186	Cd109	CD109 antigen
21923	ENSMUSG00000028364	Tnc	tenascin C
76964	ENSMUSG00000009114	2610028H24Rik	RIKEN cDNA 2610028H24 gene
17219	ENSMUSG00000026355	Mcm6	minichromosome maintenance complex component 6
17215	ENSMUSG00000041859	Mcm3	minichromosome maintenance complex component 3
17476	ENSMUSG00000046805	Mpeg1	macrophage expressed gene 1
20271	ENSMUSG00000032511	Scn5a	sodium channel, voltage-gated, type V, alpha
20448	ENSMUSG00000079442	St6galnac4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
20296	ENSMUSG00000035385	Ccl2	chemokine (C-C motif) ligand 2
12985	ENSMUSG00000038067	Csf3	colony stimulating factor 3 (granulocyte)
71819	ENSMUSG00000032254	Kif23	kinesin family member 23
230863	ENSMUSG00000045349	Sh2d5	SH2 domain containing 5
11535	ENSMUSG00000030790	Adm	adrenomedullin
14585	ENSMUSG00000025089	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1
319909	ENSMUSG00000074766	Ism1	isthmin 1, angiogenesis inhibitor
16665	ENSMUSG00000054146	Krt15	keratin 15
19283	ENSMUSG00000068748	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1
100340	ENSMUSG00000028885	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B
53624	ENSMUSG00000018569	Cldn7	claudin 7
14313	ENSMUSG00000021765	Fst	follistatin
107094	ENSMUSG00000035049	Rrp12	ribosomal RNA processing 12 homolog (S. cerevisiae)
16598	ENSMUSG00000055148	Klf2	Kruppel-like factor 2 (lung)
68743	ENSMUSG00000036777	Anln	anillin, actin binding protein
20344	ENSMUSG00000026580	Selp	selectin, platelet
52033	ENSMUSG00000022033	Pbk	PDZ binding kinase
16980	ENSMUSG00000026443	Lrrn2	leucine rich repeat protein 2, neuronal
16071	NA	Igkc	immunoglobulin kappa constant
320297	ENSMUSG00000097182	A830009L08Rik	RIKEN cDNA A830009L08 gene
23871	ENSMUSG00000032035	Ets1	E26 avian leukemia oncogene 1, 5' domain
56615	ENSMUSG00000008540	Mgst1	microsomal glutathione S-transferase 1
74155	ENSMUSG00000028967	Errfi1	ERBB receptor feedback inhibitor 1
55987	ENSMUSG00000030862	Cpxm2	carboxypeptidase X 2 (M14 family)
52040	ENSMUSG00000039220	Ppp1r10	protein phosphatase 1, regulatory subunit 10
72119	ENSMUSG00000027469	Tpx2	TPX2, microtubule-associated
79362	ENSMUSG00000030256	Bhlhe41	basic helix-loop-helix family, member e41
213393	ENSMUSG00000048489	Depp1	DEPP1 autophagy regulator
68108	NA	Snhg17	small nucleolar RNA host gene 17
59028	ENSMUSG00000024785	Rcl1	RNA terminal phosphate cyclase-like 1
20677	ENSMUSG00000076431	Sox4	SRY (sex determining region Y)-box 4
74035	ENSMUSG00000028948	Nol9	nucleolar protein 9
69573	ENSMUSG00000043421	Hilpda	hypoxia inducible lipid droplet associated
18019	ENSMUSG00000027544	Nfatc2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2
22373	ENSMUSG00000000381	Wap	whey acidic protein
319530	ENSMUSG00000039238	Zfp750	zinc finger protein 750
12739	ENSMUSG00000070473	Cldn3	claudin 3
237175	ENSMUSG00000031298	Adgrg2	adhesion G protein-coupled receptor G2
60599	ENSMUSG00000028211	Trp53inp1	transformation related protein 53 inducible nuclear protein 1
320685	ENSMUSG00000031562	Dctd	dCMP deaminase
52530	ENSMUSG00000001056	Nhp2	NHP2 ribonucleoprotein
17218	ENSMUSG00000005410	Mcm5	minichromosome maintenance complex component 5
12261	ENSMUSG00000018446	C1qbp	complement component 1, q subcomponent binding protein
231801	ENSMUSG00000029722	Agfg2	ArfGAP with FG repeats 2
110196	ENSMUSG00000059743	Fdps	farnesyl diphosphate synthetase
23961	ENSMUSG00000029605	Oas1b	2'-5' oligoadenylate synthetase 1B
14287	ENSMUSG00000009566	Fpgs	folylpolyglutamyl synthetase
667766	NA	Gm8801	protein phosphatase 1, regulatory subunit 10 pseudogene
13139	ENSMUSG00000025357	Dgka	diacylglycerol kinase, alpha
71874	ENSMUSG00000034159	2310007B03Rik	RIKEN cDNA 2310007B03 gene
18008	ENSMUSG00000004891	Nes	nestin
329738	ENSMUSG00000049565	Aknad1	AKNA domain containing 1
104662	ENSMUSG00000038335	Tsr1	TSR1 20S rRNA accumulation
70717	ENSMUSG00000029659	Medag	mesenteric estrogen dependent adipogenesis
12534	ENSMUSG00000019942	Cdk1	cyclin-dependent kinase 1
78748	ENSMUSG00000098132	Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
232431	ENSMUSG00000046733	Gprc5a	G protein-coupled receptor, family C, group 5, member A
208628	ENSMUSG00000029414	Kntc1	kinetochore associated 1
17216	ENSMUSG00000002870	Mcm2	minichromosome maintenance complex component 2
327900	ENSMUSG00000044949	Ubtd2	ubiquitin domain containing 2
24088	ENSMUSG00000027995	Tlr2	toll-like receptor 2
75590	ENSMUSG00000031383	Dusp9	dual specificity phosphatase 9
108673	ENSMUSG00000024732	Ccdc86	coiled-coil domain containing 86
16763	ENSMUSG00000041782	Lad1	ladinin
50918	ENSMUSG00000068566	Myadm	myeloid-associated differentiation marker
50918	ENSMUSG00000097829	Myadm	myeloid-associated differentiation marker
223473	ENSMUSG00000038879	Nipal2	NIPA-like domain containing 2
118449	ENSMUSG00000050315	Synpo2	synaptopodin 2
74754	ENSMUSG00000034926	Dhcr24	24-dehydrocholesterol reductase
50908	ENSMUSG00000038521	C1s1	complement component 1, s subcomponent 1
21973	ENSMUSG00000020914	Top2a	topoisomerase (DNA) II alpha
211945	ENSMUSG00000060716	Plekhh1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
70784	ENSMUSG00000041696	Rasl12	RAS-like, family 12
11941	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2
108897	ENSMUSG00000001864	Aif1l	allograft inflammatory factor 1-like
12978	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor
17279	ENSMUSG00000035683	Melk	maternal embryonic leucine zipper kinase
77552	ENSMUSG00000041889	Shisa4	shisa family member 4
14748	ENSMUSG00000049649	Gpr3	G-protein coupled receptor 3
20419	ENSMUSG00000022322	Shcbp1	Shc SH2-domain binding protein 1
353211	ENSMUSG00000039126	Prune2	prune homolog 2
66953	ENSMUSG00000055612	Cdca7	cell division cycle associated 7
11472	ENSMUSG00000052374	Actn2	actinin alpha 2
65112	ENSMUSG00000038400	Pmepa1	prostate transmembrane protein, androgen induced 1
18260	ENSMUSG00000021638	Ocln	occludin
74427	ENSMUSG00000021890	Eaf1	ELL associated factor 1
209737	ENSMUSG00000036768	Kif15	kinesin family member 15
338370	ENSMUSG00000000197	Nalcn	sodium leak channel, non-selective
226255	ENSMUSG00000054843	Atrnl1	attractin like 1
72462	ENSMUSG00000058392	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
22044	ENSMUSG00000005892	Trh	thyrotropin releasing hormone
110935	ENSMUSG00000006269	Atp6v1b1	ATPase, H+ transporting, lysosomal V1 subunit B1
234258	ENSMUSG00000039396	Neil3	nei like 3 (E. coli)
107272	ENSMUSG00000024640	Psat1	phosphoserine aminotransferase 1
217946	ENSMUSG00000021175	Cdca7l	cell division cycle associated 7 like
16551	ENSMUSG00000012443	Kif11	kinesin family member 11
16551	ENSMUSG00000111220	Kif11	kinesin family member 11
208715	ENSMUSG00000093930	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1
67223	ENSMUSG00000001305	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae)
16852	ENSMUSG00000068220	Lgals1	lectin, galactose binding, soluble 1
240754	ENSMUSG00000051998	Lax1	lymphocyte transmembrane adaptor 1
230126	ENSMUSG00000044813	Shb	src homology 2 domain-containing transforming protein B
12428	ENSMUSG00000027715	Ccna2	cyclin A2
18194	ENSMUSG00000031349	Nsdhl	NAD(P) dependent steroid dehydrogenase-like
328162	ENSMUSG00000060950	Trmt61a	tRNA methyltransferase 61A
100504344	NA	Gm20186	predicted gene, 20186
12023	ENSMUSG00000032033	Barx2	BarH-like homeobox 2
333654	ENSMUSG00000040734	Ppp1r13l	protein phosphatase 1, regulatory subunit 13 like
73673	ENSMUSG00000074269	Rec114	REC114 meiotic recombination protein
231713	ENSMUSG00000042719	Naa25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
11504	ENSMUSG00000022893	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1
67619	ENSMUSG00000003848	Nob1	NIN1/RPN12 binding protein 1 homolog
18973	ENSMUSG00000007080	Pole	polymerase (DNA directed), epsilon
27762	ENSMUSG00000007030	Vwa7	von Willebrand factor A domain containing 7
27273	ENSMUSG00000019577	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4
67451	ENSMUSG00000041957	Pkp2	plakophilin 2
13386	ENSMUSG00000040856	Dlk1	delta like non-canonical Notch ligand 1
13386	ENSMUSG00000098411	Dlk1	delta like non-canonical Notch ligand 1
319269	NA	A130040M12Rik	RIKEN cDNA A130040M12 gene
16149	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
320253	ENSMUSG00000032656	March3	membrane-associated ring finger (C3HC4) 3
211064	ENSMUSG00000079036	Alkbh1	alkB homolog 1, histone H2A dioxygenase
71458	ENSMUSG00000040363	Bcor	BCL6 interacting corepressor
625638	ENSMUSG00000078235	Fam43b	family with sequence similarity 43, member B
54392	ENSMUSG00000015880	Ncapg	non-SMC condensin I complex, subunit G
107769	ENSMUSG00000038623	Tm6sf1	transmembrane 6 superfamily member 1
23790	ENSMUSG00000004530	Coro1c	coronin, actin binding protein 1C
102098	ENSMUSG00000004568	Arhgef18	rho/rac guanine nucleotide exchange factor (GEF) 18
70466	ENSMUSG00000048327	Ckap2l	cytoskeleton associated protein 2-like
17754	ENSMUSG00000027254	Map1a	microtubule-associated protein 1 A
52276	ENSMUSG00000028873	Cdca8	cell division cycle associated 8
56419	ENSMUSG00000022021	Diaph3	diaphanous related formin 3
329628	ENSMUSG00000046743	Fat4	FAT atypical cadherin 4
13040	ENSMUSG00000038642	Ctss	cathepsin S
74107	ENSMUSG00000024989	Cep55	centrosomal protein 55
12614	ENSMUSG00000016028	Celsr1	cadherin, EGF LAG seven-pass G-type receptor 1
268977	ENSMUSG00000001870	Ltbp1	latent transforming growth factor beta binding protein 1
331474	ENSMUSG00000049191	Rtl5	retrotransposon Gag like 5
228543	ENSMUSG00000034226	Rhov	ras homolog family member V
19092	ENSMUSG00000029334	Prkg2	protein kinase, cGMP-dependent, type II
20564	ENSMUSG00000056427	Slit3	slit guidance ligand 3
319710	ENSMUSG00000048285	Frmd6	FERM domain containing 6
330192	ENSMUSG00000066278	Vps37b	vacuolar protein sorting 37B
13614	ENSMUSG00000021367	Edn1	endothelin 1
18440	ENSMUSG00000022758	P2rx6	purinergic receptor P2X, ligand-gated ion channel, 6
14619	ENSMUSG00000046352	Gjb2	gap junction protein, beta 2
242669	ENSMUSG00000028789	Azin2	antizyme inhibitor 2
192950	ENSMUSG00000041073	Nacad	NAC alpha domain containing
242122	ENSMUSG00000051076	Vtcn1	V-set domain containing T cell activation inhibitor 1
17725	NA	mt-Rnr2	16S ribosomal RNA
53886	ENSMUSG00000029403	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase)
100502766	ENSMUSG00000079553	Kifc1	kinesin family member C1
17931	ENSMUSG00000019907	Ppp1r12a	protein phosphatase 1, regulatory subunit 12A
242700	ENSMUSG00000062157	Ifnlr1	interferon lambda receptor 1
111241	ENSMUSG00000078249	Hmga1b	high mobility group AT-hook 1B
69288	ENSMUSG00000019944	Rhobtb1	Rho-related BTB domain containing 1
381410	ENSMUSG00000075040	Zfp408	zinc finger protein 408
12142	ENSMUSG00000038151	Prdm1	PR domain containing 1, with ZNF domain
75580	ENSMUSG00000018750	Zbtb4	zinc finger and BTB domain containing 4
269016	ENSMUSG00000057719	Sh3rf2	SH3 domain containing ring finger 2
65256	ENSMUSG00000021200	Asb2	ankyrin repeat and SOCS box-containing 2
629461	NA	NA	NA
269261	ENSMUSG00000038900	Rpl12	ribosomal protein L12
226418	ENSMUSG00000046404	Yod1	YOD1 deubiquitinase
14955	ENSMUSG00000000031	H19	H19, imprinted maternally expressed transcript
12373	ENSMUSG00000027861	Casq2	calsequestrin 2
320311	ENSMUSG00000047496	Rnf152	ring finger protein 152
68775	ENSMUSG00000020566	Atp6v1c2	ATPase, H+ transporting, lysosomal V1 subunit C2
233406	ENSMUSG00000038943	Prc1	protein regulator of cytokinesis 1
72309	ENSMUSG00000054871	Tmem158	transmembrane protein 158
18616	ENSMUSG00000002265	Peg3	paternally expressed 3
232670	ENSMUSG00000001763	Tspan33	tetraspanin 33
18591	ENSMUSG00000000489	Pdgfb	platelet derived growth factor, B polypeptide
17858	ENSMUSG00000023341	Mx2	MX dynamin-like GTPase 2
14066	ENSMUSG00000028128	F3	coagulation factor III
66977	ENSMUSG00000026683	Nuf2	NUF2, NDC80 kinetochore complex component
16531	ENSMUSG00000063142	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
22776	ENSMUSG00000002266	Zim1	zinc finger, imprinted 1
76982	ENSMUSG00000067879	Vxn	vexin
93694	ENSMUSG00000030157	Clec2d	C-type lectin domain family 2, member d
17762	ENSMUSG00000018411	Mapt	microtubule-associated protein tau
14584	ENSMUSG00000020363	Gfpt2	glutamine fructose-6-phosphate transaminase 2
225207	ENSMUSG00000024420	Zfp521	zinc finger protein 521
226251	ENSMUSG00000025085	Ablim1	actin-binding LIM protein 1
24014	ENSMUSG00000066800	Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)
243725	ENSMUSG00000032827	Ppp1r9a	protein phosphatase 1, regulatory subunit 9A
12587	ENSMUSG00000089661	Mia	melanoma inhibitory activity
17380	ENSMUSG00000027820	Mme	membrane metallo endopeptidase
20289	ENSMUSG00000034161	Scx	scleraxis
72565	ENSMUSG00000034485	Uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats
27999	ENSMUSG00000029672	Fam3c	family with sequence similarity 3, member C
19023	ENSMUSG00000029410	Ppef2	protein phosphatase, EF hand calcium-binding domain 2
20350	ENSMUSG00000034684	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
239188	ENSMUSG00000022012	Enox1	ecto-NOX disulfide-thiol exchanger 1
98682	ENSMUSG00000041439	Mfsd6	major facilitator superfamily domain containing 6
14190	ENSMUSG00000039899	Fgl2	fibrinogen-like protein 2
19281	ENSMUSG00000053141	Ptprt	protein tyrosine phosphatase, receptor type, T
18111	ENSMUSG00000067786	Nnat	neuronatin
67629	ENSMUSG00000074476	Spc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)
80914	ENSMUSG00000026558	Uck2	uridine-cytidine kinase 2
268902	ENSMUSG00000052516	Robo2	roundabout guidance receptor 2
223989	ENSMUSG00000060657	Marf1	meiosis regulator and mRNA stability 1
235542	ENSMUSG00000043154	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
68275	ENSMUSG00000000751	Rpa1	replication protein A1
226245	ENSMUSG00000035818	Plekhs1	pleckstrin homology domain containing, family S member 1
12522	ENSMUSG00000015396	Cd83	CD83 antigen
100217456	ENSMUSG00000092887	Snord53	small nucleolar RNA, C/D box 53
69540	ENSMUSG00000030693	Klk10	kallikrein related-peptidase 10
17127	ENSMUSG00000032402	Smad3	SMAD family member 3
80986	ENSMUSG00000037725	Ckap2	cytoskeleton associated protein 2
319554	ENSMUSG00000058258	Idi1	isopentenyl-diphosphate delta isomerase
14235	ENSMUSG00000001517	Foxm1	forkhead box M1
382038	ENSMUSG00000031976	Urb2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
93672	ENSMUSG00000026420	Il24	interleukin 24
13723	ENSMUSG00000021728	Emb	embigin
19889	ENSMUSG00000060090	Rp2	retinitis pigmentosa 2 homolog
171284	ENSMUSG00000040413	Timd2	T cell immunoglobulin and mucin domain containing 2
330908	ENSMUSG00000062257	Opcml	opioid binding protein/cell adhesion molecule-like
56095	ENSMUSG00000020706	Ftsj3	FtsJ RNA methyltransferase homolog 3 (E. coli)
243743	ENSMUSG00000029765	Plxna4	plexin A4
74376	ENSMUSG00000072720	Myo18b	myosin XVIIIb
16658	ENSMUSG00000074622	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)
17130	ENSMUSG00000036867	Smad6	SMAD family member 6
106878	ENSMUSG00000038059	Smim3	small integral membrane protein 3
14282	ENSMUSG00000003545	Fosb	FBJ osteosarcoma oncogene B
192198	ENSMUSG00000049939	Lrrc4	leucine rich repeat containing 4
73075	ENSMUSG00000078451	Ppil6	peptidylprolyl isomerase (cyclophilin)-like 6
20112	ENSMUSG00000023809	Rps6ka2	ribosomal protein S6 kinase, polypeptide 2
51793	ENSMUSG00000007039	Ddah2	dimethylarginine dimethylaminohydrolase 2
15368	ENSMUSG00000005413	Hmox1	heme oxygenase 1
19142	ENSMUSG00000027978	Prss12	protease, serine 12 neurotrypsin (motopsin)
14181	ENSMUSG00000048373	Fgfbp1	fibroblast growth factor binding protein 1
19285	ENSMUSG00000004044	Cavin1	caveolae associated 1
18383	ENSMUSG00000063727	Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
234344	ENSMUSG00000014907	Naf1	nuclear assembly factor 1 ribonucleoprotein
70333	ENSMUSG00000047649	Cd3eap	CD3E antigen, epsilon polypeptide associated protein
78749	ENSMUSG00000043336	Filip1l	filamin A interacting protein 1-like
16525	ENSMUSG00000033998	Kcnk1	potassium channel, subfamily K, member 1
16835	ENSMUSG00000032193	Ldlr	low density lipoprotein receptor
19361	ENSMUSG00000027323	Rad51	RAD51 recombinase
20306	ENSMUSG00000035373	Ccl7	chemokine (C-C motif) ligand 7
68184	ENSMUSG00000023106	Denr	density-regulated protein
52840	ENSMUSG00000017734	Dbndd2	dysbindin (dystrobrevin binding protein 1) domain containing 2
67702	ENSMUSG00000048234	Rnf149	ring finger protein 149
12615	ENSMUSG00000029177	Cenpa	centromere protein A
105522	ENSMUSG00000014496	Ankrd28	ankyrin repeat domain 28
68147	ENSMUSG00000028010	Gar1	GAR1 ribonucleoprotein
269116	ENSMUSG00000026442	Nfasc	neurofascin
16190	ENSMUSG00000030748	Il4ra	interleukin 4 receptor, alpha
241727	ENSMUSG00000027457	Snph	syntaphilin
13732	ENSMUSG00000040212	Emp3	epithelial membrane protein 3
11988	ENSMUSG00000031596	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2
110033	ENSMUSG00000030677	Kif22	kinesin family member 22
13641	ENSMUSG00000031217	Efnb1	ephrin B1
69237	ENSMUSG00000021149	Gtpbp4	GTP binding protein 4
217143	ENSMUSG00000070337	Gpr179	G protein-coupled receptor 179
18826	ENSMUSG00000021998	Lcp1	lymphocyte cytosolic protein 1
26457	ENSMUSG00000031808	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1
231440	ENSMUSG00000034981	Parm1	prostate androgen-regulated mucin-like protein 1
218518	ENSMUSG00000021636	Marveld2	MARVEL (membrane-associating) domain containing 2
27966	ENSMUSG00000041506	Rrp9	RRP9, small subunit (SSU) processome component, homolog (yeast)
77011	ENSMUSG00000046591	Ticrr	TOPBP1-interacting checkpoint and replication regulator
12236	ENSMUSG00000040084	Bub1b	BUB1B, mitotic checkpoint serine/threonine kinase
67949	ENSMUSG00000026377	Nifk	nucleolar protein interacting with the FHA domain of MKI67
12704	ENSMUSG00000029516	Cit	citron
100042480	ENSMUSG00000079481	Nhsl2	NHS-like 2
14623	ENSMUSG00000040055	Gjb6	gap junction protein, beta 6
27409	ENSMUSG00000040505	Abcg5	ATP binding cassette subfamily G member 5
226922	ENSMUSG00000028033	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5
66240	ENSMUSG00000090122	Kcne1l	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene
14961	ENSMUSG00000073421	H2-Ab1	histocompatibility 2, class II antigen A, beta 1
76464	ENSMUSG00000027326	Knl1	kinetochore scaffold 1
22033	ENSMUSG00000026637	Traf5	TNF receptor-associated factor 5
22033	ENSMUSG00000111385	Traf5	TNF receptor-associated factor 5
14063	ENSMUSG00000021678	F2rl1	coagulation factor II (thrombin) receptor-like 1
19227	ENSMUSG00000048776	Pthlh	parathyroid hormone-like peptide
17105	ENSMUSG00000069516	Lyz2	lysozyme 2
66970	ENSMUSG00000003992	Ssbp2	single-stranded DNA binding protein 2
59014	ENSMUSG00000061024	Rrs1	ribosome biogenesis regulator 1
65972	ENSMUSG00000031838	Ifi30	interferon gamma inducible protein 30
